8oz|2.25|size|false|true|true
12oz|3.5|size|false|true|true
16oz|4.25|size|false|true|true
extrashots|0.85|extrashots|true|false|true
hot|0.00|temp|false|true|true
whole|0.00|milk|false|false|true
oat|0.00|milk|false|false|true
almond|0.00|milk|false|false|true
caramel|0.60|syrup|true|false|false
vanilla|0.60|syrup|true|false|false
chocolate|0.60|syrup|true|false|false
cinnamon|0.60|syrup|true|false|false
cardamom|0.60|syrup|true|false|false
hazelnut|0.60|syrup|true|false|false
peppermint|0.60|syrup|true|false|false
maple|0.60|syrup|true|false|false
pumpkin|0.60|syrup|true|false|false
