8oz|2.89|size|false|true|true
12oz|3.46|size|false|true|true
16oz|4.23|size|false|true|true
hot|0.00|temp|false|true|true
whole|0.00|milk|false|true|true
oat|0.00|milk|false|true|true
almond|0.00|milk|false|true|true
caramel|0.60|syrup|true|false|false
vanilla|0.60|syrup|true|false|false
chocolate|0.60|syrup|true|false|false
cinnamon|0.60|syrup|true|false|false
cardamom|0.60|syrup|true|false|false
hazelnut|0.60|syrup|true|false|false
peppermint|0.60|syrup|true|false|false
maple|0.60|syrup|true|false|false
pumpkin|0.60|syrup|true|false|false
