milk
milkWhole
milkOat
milkAlmond
size
size5
size8
size12
size16
espresso
withwater
temp
tempHot
tempCold
latte
cappucino
cortado
pourover
coldbrew
batchbrew
matchalatte
water
hotchocolate
brewedtea
black
oolong
green
matcha
croissant
macaron
muffin
cookie
baggedcoffee
ground
whole
flavor
caramel
vnilla
chocolate
cardamom
cinnamon
hazelnut
peppermint
maple
pumpkin
blueberry
raspberry
extrashots
oneShot
twoShot
threeShot
fourShot


milkType|0.00
milkTypeWhole|0.00
milkTypeOat|0.00
milkTypeAlmond|0.00
espresso|2.00
espressoWater|0.00
espressoNoWater|0.00
temp|0.00
hot|0.00
cold|0.00
latte|0.00
latteSize|0.00
latteSize8|4.99
latteSize12|5.99
latteSize16|6.99
cappucino|0.00
cappucinoSize|0.00
cappucinoSize5|3.99
cappucinoSize8|4.99
cappucinoSize12|5.99
cortado|3.5
pourover|0.00
pouroverSize|0.00
pouroverSiz8|5.19
pouroverSize12|5.99
pouroverSize16|7.58
coldbrew|0.00
coldbrewSize|0.00
coldbrewSize8|3.99
coldbrewSize12|5.25
coldbrewSize16|5.99
batchbrew|0.00
batchbrewSize|0.00
batchbrewSize8|2.25
batchbrewSize12|5.99
batchbrewSize16|4.25
matchalatteSize|0.00
matchalatteSize5|3.99
matchalatteSize8|4.99
matchalatteSize12|5.99
water|0.00
waterSize|0.00
waterSize5|0.00
waterSize8|0.00
waterSize12|0.00
waterSize16|0.00
hotchocolate|0.00
hotchocolateSize|0.00
hotchocolateSize8|2.89
hotchocolateSize12|3.46
hotchocolateSize16|4.23
tea|0.00
teaSize|0.00
teaSize5|2.99
teaSize8|4.39
teaType|0.00
teaTypeBlack|0.00
teaTypeOolong|0.00
teaTypeGreen|0.00
teaTypeMatcha|0.00
croissant|3.99
macaron|4.56
macaronFlavor|0.00
macaronFlavorChocolate|0.00
macaronFlavorRaspberry|0.00
macaronFlavorVanilla|0.00
muffin|4.08
muffinFlavor|0.00
muffinFlavorChocolate|0.00
muffinFlavorBlueberry|0.00
cookie|2.83
baggedcoffee|22.49
baggedcoffeeState|0.00
baggedcoffeeStateGround|0.00
baggedcoffeeStateWhole|0.00
flavorCaramel|0.50
flavorVanilla|0.50
flavorChocolate|0.50
flavorCinnamon|0.50
flavorCardamom|0.50
flavorHazelnut|0.50
flavorPeppermint|0.50
flavorMaple|0.50
flavorPumpkin|0.50
extrashots|0.00
extrashotsNumber|0.00
extrashotsNumber0|0.00
extrashotsNumber1|0.85
extrashotsNumber2|1.70
extrashotsNumber3|2.55
extrashotsNumber4|3.40
